trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
311,False,"{'a': 0.8, 'e': 1.0339016345984843e-05}",25,13,21.30781240227732,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.8, 'e': 1.027284681130835e-05}",20,10,19.292516342223713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.8, 'e': 1.0207310475762742e-05}",35,17,33.20948523273435,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.8, 'e': 1.014239928597509e-05}",20,2,26.84410605816836,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.8, 'e': 1.0078105316200555e-05}",25,16,15.086258573062874,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.8, 'e': 1.00144207659029e-05}",20,0,29.654326624815972,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.8, 'e': 9.95133795738837e-06}",20,12,10.79425982781336,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,7,32.05130043822223,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,2,30.820918031638435,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,6,30.918855196727183,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,16.046150125029747,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,20,10.76462573634204,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,19.255205329832393,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,7.077983594578293,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,3,35.609619347133744,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,3,32.99312395128757,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,15,23.105447631957432,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
